ID,WEEK,LOC_ID,TEAM1_ID,TEAM2_ID,TEAM1_SCORE,TEAM2_SCORE
1,1,-999,61,0,38,37
2,1,2,2,67,41,0
3,1,9,9,197,45,14
4,1,30,30,32,20,16
5,1,86,86,194,17,10
6,1,99,99,45,42,20
7,1,-999,100,19,35,13
8,1,114,114,24,28,10
9,1,125,125,140,55,3
10,1,-999,145,196,41,38
11,1,150,150,120,42,10
12,1,188,170,188,37,7
13,1,153,174,153,52,28
14,1,184,184,183,38,31
15,1,186,186,69,56,14
16,1,8,8,111,58,13
17,1,39,22,39,35,10
18,1,-999,38,37,31,17
19,1,97,97,75,45,7
20,1,169,169,189,27,26
21,1,66,179,66,27,7
22,1,201,201,21,59,31
23,1,1,1,115,44,16
24,1,-999,3,198,33,23
25,1,5,5,182,48,10
26,1,11,11,105,37,10
27,1,14,14,10,45,21
28,1,16,16,36,30,10
29,1,53,18,53,14,12
30,1,91,20,91,30,7
31,1,23,23,43,38,28
32,1,127,25,127,31,24
33,1,42,42,49,52,13
34,1,44,44,118,52,7
35,1,47,47,106,31,28
36,1,-999,54,133,37,31
37,1,59,59,35,45,21
38,1,62,62,205,38,19
39,1,50,68,50,,
40,1,70,70,208,28,17
41,1,71,71,72,28,10
42,1,73,73,126,31,23
43,1,78,78,167,55,16
44,1,80,80,172,59,14
45,1,-999,83,204,28,24
46,1,85,85,160,45,6
47,1,95,89,95,42,27
48,1,90,90,76,52,7
49,1,93,93,15,63,0
50,1,96,96,7,52,14
51,1,98,98,151,61,7
52,1,101,101,164,49,0
53,1,102,102,156,38,18
54,1,109,109,52,55,7
55,1,110,110,165,28,19
56,1,117,117,82,56,29
57,1,119,119,60,24,23
58,1,74,121,74,34,14
59,1,129,129,143,48,17
60,1,79,130,79,17,14
61,1,-999,131,108,34,17
62,1,132,132,84,48,16
63,1,-999,134,64,41,28
64,1,135,135,155,62,13
65,1,136,136,139,29,14
66,1,-999,137,29,26,24
67,1,138,138,40,62,0
68,1,141,141,202,43,34
69,1,149,149,123,38,7
70,1,157,157,199,36,31
71,1,161,161,56,52,13
72,1,166,166,26,45,0
73,1,173,173,122,38,7
