Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
1,1,Aug 27 2014,7:00 PM,Wed,Georgia State,38,,Abilene Christian,37,ESPN U,,
2,1,Aug 28 2014,7:00 PM,Thu,Akron,41,,Howard,0,ESPN3.com,,
3,1,Aug 28 2014,10:30 PM,Thu,(19) Arizona State,45,,Weber State,14,Pac-12 Network,,
4,1,Aug 28 2014,7:00 PM,Thu,Central Michigan,20,,Chattanooga,16,ESPN3.com,,
5,1,Aug 28 2014,7:02 PM,Thu,Louisiana-Monroe,17,,Wake Forest,10,ESPN U,,
6,1,Aug 28 2014,7:00 PM,Thu,Minnesota,42,,Eastern Illinois,20,Big Ten Network,,
7,1,Aug 28 2014,8:00 PM,Thu,(18) Mississippi,35,,Boise State,13,ESPN,Georgia Dome - Atlanta GA,
8,1,Aug 28 2014,8:00 PM,Thu,New Mexico State,28,,Cal Poly,10,ESPN3.com,,
9,1,Aug 28 2014,7:00 PM,Thu,Northern Illinois,55,,Presbyterian,3,ESPN3.com,,
10,1,Aug 28 2014,10:00 PM,Thu,Rutgers,41,,Washington State,38,FS1,CenturyLink Field - Seattle WA,
11,1,Aug 28 2014,10:00 PM,Thu,San Jose State,42,,North Dakota,10,ESPN3.com,,
12,1,Aug 28 2014,10:50 PM,Thu,Temple,37,@,Vanderbilt,7,SEC Network,,
13,1,Aug 28 2014,6:00 PM,Thu,(21) Texas A&M,52,@,(9) South Carolina,28,SEC Network,,
14,1,Aug 28 2014,8:00 PM,Thu,Tulsa,38,,Tulane,31,CBSSN,,
15,1,Aug 28 2014,7:30 PM,Thu,Utah,56,,Idaho State,14,Pac-12 Network,,
16,1,Aug 29 2014,10:30 PM,Fri,Arizona,58,,Nevada-Las Vegas,13,ESPN,,
17,1,Aug 29 2014,7:00 PM,Fri,Brigham Young,35,@,Connecticut,10,ESPN,,
18,1,Aug 29 2014,9:00 PM,Fri,Colorado State,31,,Colorado,17,FS1,Sports Authority Field at Mile High Stadium - Denver CO,
19,1,Aug 29 2014,7:30 PM,Fri,(8) Michigan State,45,,Jacksonville State,7,Big Ten Network,,
20,1,Aug 29 2014,7:30 PM,Fri,Syracuse,27,,Villanova,26,ESPN3.com,,
21,1,Aug 29 2014,9:00 PM,Fri,Texas-San Antonio,27,@,Houston,7,ESPN U,,
22,1,Aug 29 2014,7:30 PM,Fri,Western Kentucky,59,,Bowling Green State,31,CBSSN,,
23,1,Aug 30 2014,2:00 PM,Sat,Air Force,44,,Nicholls State,16,ESPN3.com,,
24,1,Aug 30 2014,3:30 PM,Sat,(2) Alabama,33,,West Virginia,23,ESPN 2,Georgia Dome - Atlanta GA,
25,1,Aug 30 2014,12:00 PM,Sat,Alabama-Birmingham,48,,Troy,10,FCS,,
26,1,Aug 30 2014,7:00 PM,Sat,Arkansas State,37,,Montana State,10,ESPN3.com,,
27,1,Aug 30 2014,4:00 PM,Sat,(6) Auburn,45,,Arkansas,21,SEC Network,,
28,1,Aug 30 2014,2:00 PM,Sat,Ball State,30,,Colgate,10,ESPN3.com,,
29,1,Aug 30 2014,7:00 PM,Sat,Bethune-Cookman,14,@,Florida International,12,American Sports Net,,
30,1,Aug 30 2014,3:00 PM,Sat,Boston College,30,,Massachusetts,7,ESPN3.com,Gillette Stadium - Foxborough MA,
31,1,Aug 30 2014,3:30 PM,Sat,Buffalo,38,,Duquesne,28,ESPN3.com,,
32,1,Aug 30 2014,3:30 PM,Sat,California,31,@,Northwestern,24,ABC (ESPN 2 mirror),,
33,1,Aug 30 2014,6:00 PM,Sat,Duke,52,,Elon,13,ESPN3.com,,
34,1,Aug 30 2014,8:00 PM,Sat,East Carolina,52,,North Carolina Central,7,ESPNews,,
35,1,Aug 30 2014,6:00 PM,Sat,Eastern Michigan,31,,Morgan State,28,ESPN3.com,,
36,1,Aug 30 2014,8:00 PM,Sat,(1) Florida State,37,,Oklahoma State,31,ABC,AT&T Stadium - Arlington TX,
37,1,Aug 30 2014,5:30 PM,Sat,(12) Georgia,45,,(16) Clemson,21,ESPN,,
38,1,Aug 30 2014,12:30 PM,Sat,Georgia Tech,38,,Wofford,19,RSN ESPN3.com,,
39,1,Aug 30 2014,9:50 PM,Sat,Idaho,,@,Florida,,ESPN U,Postponed,
40,1,Aug 30 2014,12:00 PM,Sat,Illinois,28,,Youngstown State,17,Big Ten Network,,
41,1,Aug 30 2014,12:00 PM,Sat,Indiana,28,,Indiana State,10,ESPNews,,
42,1,Aug 30 2014,12:00 PM,Sat,Iowa,31,,Northern Iowa,23,Big Ten Network,,
43,1,Aug 30 2014,7:10 PM,Sat,(20) Kansas State,55,,Stephen F. Austin,16,K-StateHD.tv,,
44,1,Aug 30 2014,12:00 PM,Sat,Kentucky,59,,Tennessee-Martin,14,SEC Network,,
45,1,Aug 30 2014,9:15 PM,Sat,(13) Louisiana State,28,,(14) Wisconsin,24,ESPN,NRG Stadium - Houston TX,
46,1,Aug 30 2014,7:00 PM,Sat,Louisiana-Lafayette,45,,Southern,6,ESPN3.com,,
47,1,Aug 30 2014,3:30 PM,Sat,Marshall,42,@,Miami (OH),27,ESPN3.com,,
48,1,Aug 30 2014,3:30 PM,Sat,Maryland,52,,James Madison,7,Big Ten Network,,
49,1,Aug 30 2014,7:00 PM,Sat,Memphis,63,,Austin Peay,0,ESPN3.com,,
50,1,Aug 30 2014,12:00 PM,Sat,Michigan,52,,Appalachian State,14,ESPN 2,,
51,1,Aug 30 2014,7:00 PM,Sat,Middle Tennessee State,61,,Savannah State,7,,,
52,1,Aug 30 2014,7:30 PM,Sat,Mississippi State,49,,Southern Mississippi,0,SEC Network,,
53,1,Aug 30 2014,3:30 PM,Sat,(24) Missouri,38,,South Dakota State,18,ESPN U,,
54,1,Aug 30 2014,3:30 PM,Sat,(22) Nebraska,55,,Florida Atlantic,7,Big Ten Network,,
55,1,Aug 30 2014,3:00 PM,Sat,Nevada,28,,Southern Utah,19,,,
56,1,Aug 30 2014,6:00 PM,Sat,(23) North Carolina,56,,Liberty,29,ESPN3.com,,
57,1,Aug 30 2014,12:30 PM,Sat,North Carolina State,24,,Georgia Southern,23,ACC Network ESPN3.com,,
58,1,Aug 30 2014,12:00 PM,Sat,North Dakota State,34,@,Iowa State,14,FS1,,
59,1,Aug 30 2014,3:30 PM,Sat,(17) Notre Dame,48,,Rice,17,NBC,,
60,1,Aug 30 2014,6:00 PM,Sat,Ohio,17,@,Kent State,14,ESPN3.com,,
61,1,Aug 30 2014,12:00 PM,Sat,(5) Ohio State,34,,Navy,17,CBSSN,M&T Bank Stadium - Baltimore MD,
62,1,Aug 30 2014,7:00 PM,Sat,(4) Oklahoma,48,,Louisiana Tech,16,FSN-OK (PPV),,
63,1,Aug 30 2014,3:30 PM,Sat,Old Dominion,41,,Hampton,28,American Sports Network,,
64,1,Aug 30 2014,10:30 PM,Sat,(3) Oregon,62,,South Dakota,13,Pac-12 Network,,
65,1,Aug 30 2014,4:00 PM,Sat,Oregon State,29,,Portland State,14,Pac-12 Network,,
66,1,Aug 30 2014,8:30 AM,Sat,Penn State,26,,Central Florida,24,ESPN 2,Croke Park Stadium - Dublin Ireland,
67,1,Aug 30 2014,12:00 PM,Sat,Pittsburgh,62,,Delaware,0,ESPN3.com,,
68,1,Aug 30 2014,12:00 PM,Sat,Purdue,43,,Western Michigan,34,ESPN U,,
69,1,Aug 30 2014,7:00 PM,Sat,San Diego State,38,,Northern Arizona,7,CBSSN,,
70,1,Aug 30 2014,7:00 PM,Sat,South Florida,36,,Western Carolina,31,ESPN3.com,,
