Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 1 2011,,Thu,Arizona State,12:00 AM,,California-Davis,14,
2,1,Sep 1 2011,,Thu,Bowling Green State,12:00 AM,@,Idaho,15,
3,1,Sep 1 2011,,Thu,Central Michigan,12:00 AM,,South Carolina State,6,
4,1,Sep 1 2011,,Thu,Florida International,12:00 AM,,North Texas,16,
5,1,Sep 1 2011,,Thu,Georgia Tech,12:00 AM,,Western Carolina,21,
6,1,Sep 1 2011,,Thu,Kentucky,12:00 AM,,Western Kentucky,3,Nashville TN
7,1,Sep 1 2011,,Thu,Louisville,12:00 AM,,Murray State,9,
8,1,Sep 1 2011,,Thu,(20) Mississippi State,12:00 AM,@,Memphis,14,
9,1,Sep 1 2011,,Thu,Rutgers,12:00 AM,,North Carolina Central,0,
10,1,Sep 1 2011,,Thu,Syracuse,12:00 AM,,Wake Forest,29,
11,1,Sep 1 2011,,Thu,Temple,12:00 AM,,Villanova,7,
12,1,Sep 1 2011,,Thu,Toledo,12:00 AM,,New Hampshire,22,
13,1,Sep 1 2011,,Thu,Utah,12:00 AM,,Montana State,10,
14,1,Sep 1 2011,,Thu,(11) Wisconsin,12:00 AM,,Nevada-Las Vegas,17,
15,1,Sep 2 2011,,Fri,Baylor,12:00 AM,,(14) Texas Christian,48,
16,1,Sep 2 2011,,Fri,(17) Michigan State,12:00 AM,,Youngstown State,6,
17,1,Sep 3 2011,,Sat,Air Force,12:00 AM,,South Dakota,20,
18,1,Sep 3 2011,,Sat,(2) Alabama,12:00 AM,,Kent State,7,
19,1,Sep 3 2011,,Sat,Arizona,12:00 AM,,Northern Arizona,10,
20,1,Sep 3 2011,,Sat,(15) Arkansas,12:00 AM,,Missouri State,7,
21,1,Sep 3 2011,,Sat,(23) Auburn,12:00 AM,,Utah State,38,
22,1,Sep 3 2011,,Sat,Ball State,12:00 AM,,Indiana,20,Indianapolis IN
23,1,Sep 3 2011,,Sat,(5) Boise State,12:00 AM,@,(19) Georgia,21,Atlanta GA
24,1,Sep 3 2011,,Sat,Brigham Young,12:00 AM,@,Mississippi,13,
25,1,Sep 3 2011,,Sat,California,12:00 AM,,Fresno State,21,San Francisco CA
26,1,Sep 3 2011,,Sat,Central Florida,12:00 AM,,Charleston Southern,0,
27,1,Sep 3 2011,,Sat,Cincinnati,12:00 AM,,Austin Peay,10,
28,1,Sep 3 2011,,Sat,Clemson,12:00 AM,,Troy,19,
29,1,Sep 3 2011,,Sat,Colorado State,12:00 AM,@,New Mexico,10,
30,1,Sep 3 2011,,Sat,Connecticut,12:00 AM,,Fordham,3,
31,1,Sep 3 2011,,Sat,(22) Florida,12:00 AM,,Florida Atlantic,3,
32,1,Sep 3 2011,,Sat,(6) Florida State,12:00 AM,,Louisiana-Monroe,0,
33,1,Sep 3 2011,,Sat,Hawaii,12:00 AM,,Colorado,17,
34,1,Sep 3 2011,,Sat,Houston,12:00 AM,,UCLA,34,
35,1,Sep 3 2011,,Sat,Illinois,12:00 AM,,Arkansas State,15,
36,1,Sep 3 2011,,Sat,Iowa,12:00 AM,,Tennessee Tech,7,
37,1,Sep 3 2011,,Sat,Iowa State,12:00 AM,,Northern Iowa,19,
38,1,Sep 3 2011,,Sat,Kansas,12:00 AM,,McNeese State,24,
39,1,Sep 3 2011,,Sat,Kansas State,12:00 AM,,Eastern Kentucky,7,
40,1,Sep 3 2011,,Sat,(4) Louisiana State,12:00 AM,,(3) Oregon,27,Arlington TX
41,1,Sep 3 2011,,Sat,Michigan,12:00 AM,,Western Michigan,10,
42,1,Sep 3 2011,,Sat,(21) Missouri,12:00 AM,,Miami (OH),6,
43,1,Sep 3 2011,,Sat,Navy,12:00 AM,,Delaware,17,
44,1,Sep 3 2011,,Sat,(10) Nebraska,12:00 AM,,Chattanooga,7,
45,1,Sep 3 2011,,Sat,North Carolina,12:00 AM,,James Madison,10,
46,1,Sep 3 2011,,Sat,North Carolina State,12:00 AM,,Liberty,21,
47,1,Sep 3 2011,,Sat,Northern Illinois,12:00 AM,,Army,26,
48,1,Sep 3 2011,,Sat,Northwestern,12:00 AM,@,Boston College,17,
49,1,Sep 3 2011,,Sat,Ohio,12:00 AM,@,New Mexico State,24,
50,1,Sep 3 2011,,Sat,(18) Ohio State,12:00 AM,,Akron,0,
51,1,Sep 3 2011,,Sat,(1) Oklahoma,12:00 AM,,Tulsa,14,
52,1,Sep 3 2011,,Sat,(9) Oklahoma State,12:00 AM,,Louisiana-Lafayette,34,
53,1,Sep 3 2011,,Sat,Penn State,12:00 AM,,Indiana State,7,
54,1,Sep 3 2011,,Sat,Pittsburgh,12:00 AM,,Buffalo,16,
55,1,Sep 3 2011,,Sat,Purdue,12:00 AM,,Middle Tennessee State,24,
56,1,Sep 3 2011,,Sat,Richmond,12:00 AM,@,Duke,21,
57,1,Sep 3 2011,,Sat,Sacramento State,12:00 AM,@,Oregon State,28,
58,1,Sep 3 2011,,Sat,San Diego State,12:00 AM,,Cal Poly,21,
59,1,Sep 3 2011,,Sat,(12) South Carolina,12:00 AM,,East Carolina,37,Charlotte NC
60,1,Sep 3 2011,,Sat,South Florida,12:00 AM,@,(16) Notre Dame,20,
61,1,Sep 3 2011,,Sat,(25) Southern California,12:00 AM,,Minnesota,17,
62,1,Sep 3 2011,,Sat,Southern Mississippi,12:00 AM,,Louisiana Tech,17,
63,1,Sep 3 2011,,Sat,(7) Stanford,12:00 AM,,San Jose State,3,
64,1,Sep 3 2011,,Sat,Tennessee,12:00 AM,,Montana,16,
65,1,Sep 3 2011,,Sat,Texas,12:00 AM,,Rice,9,
66,1,Sep 3 2011,,Sat,Texas Tech,12:00 AM,,Texas State,10,
67,1,Sep 3 2011,,Sat,Texas-El Paso,12:00 AM,,Stony Brook,24,
68,1,Sep 3 2011,,Sat,Tulane,12:00 AM,,Southeastern Louisiana,33,
